words,PERSON,NORP,FACILITY,ORGANIZATION,GPE,LOCATION,PRODUCT,EVENT,WORK_OF_ART,LAW,LANGUAGE,DATE,TIME,PERCENT,MONEY,MEASUREMENT,ORDINAL,CARDINAL,MISC,PUNC,O
تسلیم,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1
ذلت,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1
»,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
مردم ایران,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
به خاطر,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
د,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
مشاوره حقوقی,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
می‌خواستم,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
حقوق‌دانا,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
کجای,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
توییترن,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
می‌شینن,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
منشن نکنین,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
پند,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
نصایح,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
مسائل,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
مربوط,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
عرفان,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1
مسئولینشان,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
نمایندگان,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
خداوند,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
هستش,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
اگر,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
آقای روحانی,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
مریم خانمتون,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
آمریکا,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
مشکلی,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
امام خمینی,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
نعیمه اشراقی,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
نوه تون,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
فکرکنم,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
ماه,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
چندهزار دلار,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
کم آوردن,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
حوزه علمیه,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
گفته,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
نود درصد,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
بیکار,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
هستن,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
...,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
حالا,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0
ده درصد,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
نیروهاشون,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
به این حال و روز انداختن,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
دیوثا,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1
نسخه,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
پی دی اف,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
مصاحبه,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1
درباره,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
عقلانیت,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
انحطاط,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
دینی,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1
روحانیت شیعه,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
حوصله,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
ندارم,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
فیلم,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
شعار,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
انتخاباتی,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,1
در مورد,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
دانشجویان ستاره دار,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
پیدا کنم,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
نه تنها,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
ستاره‌ها,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
حذف نشد,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
راه,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
بیشتر,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0
سال ٥٨,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
امام خميني,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
مداخله,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
امور,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
حكومت,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
محدود,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
قوه قضائيه,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ميدانستند,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
روحانيت,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ساير,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
مخا,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
مذاکرات,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
نتیجه,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
معکوس,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
داده است,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
بهرحال,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
نمی شود,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
تقصیر,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
باشد,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
بقیه,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
بی گناه,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1
برجام,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
خوب,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1
پیش رفته بود,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
پای,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
رهن,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
صحبتهاش,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
تعریف میکنه,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
انتقاد,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
چون,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
اولی,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
تو بازی آوردش,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1
دومی,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
بجای,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
کری خوندن,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1
ترامپ,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
بگوید,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
بیشترین,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0
درآمد,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
تاریخ,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
نفتی,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
چه,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
کرد,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
یادداشت,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
رابین رایت,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
مجله,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0
نیویورکر,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
سیاست,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
عجیب,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1
علیه,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
درخواست,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
ملاقات,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
خروج,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
برجا,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1
ای بر پدر و,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1
مخصوصا,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
مادر روحانی لعنت خدا,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1
سطح,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
فهم,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
شعور,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
بوده,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
رای دادید,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
وضعی,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
داریم,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
زمان جنگ,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0
بدتره,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1
بغل دست,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
کیه,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
مردک,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
چقدر,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1
دروغ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1
بعنوان,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
نماد,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
سمبل,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
دروغگویی,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1
دنیا,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
بشناسند,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
یکبار,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0
مینوشتی,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
روحانیت مفت خور,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
جز,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
مفت خوری,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1
چیزی,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
بلد نیستین,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
دست از سر ملت ایران بکشید,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
عراق,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
برگردید,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
علی خامنه‌ ای,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
جوجه‌های,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
شعارهایتان,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
انتخاباتی‌تان,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
در آخر پائیز شمردیم,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
؛,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
ظرف,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
کمتر,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0
۲ ماه,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
مادر جوجه‌ها,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0
۲۵ درصد,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
افزایش قیمت,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0
حاج آقا,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
کم کاری,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1
ضعف,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1
تربیت,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
جامعه اسلامی,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
مذهبی,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
اشاره کردم,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
یه بار,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0
تعریفی,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
انتخابات,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
دادید,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
که برای هشت سالمون بسه,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
تعریف,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
دختران,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
خیابان,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
برع,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
"""",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
فیلمی,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
آموزشی,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
دوقلوهای,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
طاها,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
طهورا,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
خطاب,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
دستگاه دیپلماسیِ لبخندِ,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
دولتِ آقای روحانی,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
مخصوصِ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
آقا محمدجواد ظر,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ای کاش,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
مثل,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
تلگرام طلایی,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
از خواب پا شدیم,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
حذف شده,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
یهویی,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1
از خواب پا میشدیم,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
میدیدیم,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
الرحمن روحانی رو دارند میخونن,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
نیازی,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
علم غیب,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
حقه,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
باز تر,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
از این حرفاست,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1
حرفها,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
ببره,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
زیر,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
اینها,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
جنایات,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
شریکن,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
میشه,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
ایام مبارک جشن میلاد مسیح,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0
سانتا,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0
رونمایی کرد,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
امثال,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
امیر احمدی ها,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
گذشته مشخص دارن,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1
در صورتی که,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
اصلاح طلبها,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
حتی,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
مشخص نیستن,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
قبل,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
ان,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
اساسا,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
اجماع,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
مذاکره مستقیم,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
توافق بر سر مسائل هسته‌ای,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0
پیش,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
پیروزی,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
برمی‌گردد,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
تعهدش,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1
بیشتره,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
احیای دریاچه,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
حیای,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
رابطه معکوس,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
دارند,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
اشنا,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
رسوا شدی,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1
بین,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
منفور ترین,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0
دولت,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
بود,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
مشاورش,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
هستی,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
میخوام,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
دستام,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1
خفه کنم,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1
شماها,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
سرهنگ,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
می‌بودن,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
دیگه,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
عیش,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
ترب,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
زحماتی,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
طلاب,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
سيل,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0
اخیر,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0
کشیدند,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
دیدن,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
خالی از لطف نیست,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1
هستم,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
دشمنی,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
امریکا,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
دوستانتان,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
هرجای,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
ننگ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
ابدی,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
ولایت فقیه,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
حزب الله,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ایرانیان,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
عصر حاکمیت,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
فشار خارجی,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1
حقوق بشر,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0
دست می یابند,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
آخوندها,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
انتظاری,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
البته,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
غیر,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
آخوندهایی,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
+۴|۳|۶۵,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
ماجرای,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
متاثر,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
معامله تسلیحاتی,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1
در پوشش,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
